Employee_ID,Name,Age,Department,Salary,Experience_Years,City,Performance_Score,Email,Joining_Date
EMP1000,Michael Clark,58,,N/A,4,Mumbai,9.0,rogersalexis@lowery-hansen.com,2016-08-31
EMP1001,Jonathan Robinson,31,Marketing,N/A,five,Mumbai,-3.0,davidsmith@gmail.com,
EMP1002,Robert Hernandez,,Support,,3,Chennai,7.0,,32-13-2024
EMP1003,Randy Beasley,Unknown,Finance,71164.82,-1,Delhi,15.0,xsanders@hotmail.com,
EMP1004,Sara Moore,,Sales,148078.8,-1,Chennai,15.0,invalid_email,2022-10-04
EMP1005,Tracy Morgan,,Sales,111236.64,,,,invalid_email,32-13-2024
EMP1006,Samuel Davis,Unknown,Marketing,92403.47,7,Delhi,-3.0,tfitzgerald@gmail.com,
EMP1007,Allison Oneal,38,Marketing,203859.63,-1,???,,,32-13-2024
EMP1008,Jeffery Bryant,41,Sales,77782.55,2,???,,,2020-07-28
EMP1009,Jennifer Fox,,Support,,17,Delhi,15.0,invalid_email,32-13-2024
EMP1010,Kelly Boyd,,Marketing,,,Pune,9.0,jenniferwu@hotmail.com,32-13-2024
EMP1011,Richard Baker,Unknown,HR,143954.97,-1,Chennai,8.0,invalid_email,2021-05-20
EMP1012,David Pearson,21,Sales,134141.25,five,,,,2022-11-15
EMP1013,Deborah Mendez,Unknown,Support,N/A,,,-3.0,,32-13-2024
EMP1014,Angela Strickland,25,IT,N/A,,Pune,1.0,hdickerson@yahoo.com,2023-11-17
EMP1015,Michael Green,39,Finance,146453.86,,,-3.0,invalid_email,2017-05-03
EMP1016,Patricia Martin,24,,183605.81,14,Chennai,2.0,fgomez@boone.com,2026-02-13
EMP1017,Michael Hardin,30,UnknownDept,N/A,five,Delhi,4.0,brettcraig@yahoo.com,
EMP1018,Madison Baxter,52,Finance,N/A,five,???,-3.0,tbradley@frye.com,2022-01-19
EMP1019,Tracy Thompson,42,Sales,139949.5,five,Pune,-3.0,invalid_email,2024-01-29
EMP1020,Lisa Anderson,Unknown,Sales,,1,Mumbai,-3.0,,2017-06-08
EMP1021,Daniel Glenn,29,IT,N/A,12,Delhi,,invalid_email,
EMP1022,Scott Smith,Unknown,,N/A,-1,Ahmedabad,15.0,,
EMP1023,Courtney Wade,,HR,61103.04,five,Pune,10.0,,32-13-2024
EMP1024,Anthony Wilson,,IT,,,Bangalore,15.0,,2020-03-26
EMP1025,Cheryl Gregory,,Support,N/A,-1,Pune,,,
EMP1026,Brandon Brooks,Unknown,IT,83509.14,five,Chennai,5.0,caroline36@hotmail.com,
EMP1027,Jessica Kerr,34,Sales,280323.41,17,Mumbai,2.0,invalid_email,
EMP1028,Jeffrey Glass,53,Finance,,25,Delhi,,invalid_email,
EMP1029,David Adams,Unknown,Sales,N/A,,Chennai,7.0,invalid_email,
EMP1030,Patrick Carter,,UnknownDept,353626.31,five,Chennai,,invalid_email,2018-07-28
EMP1031,Brenda Perry,32,Support,,-1,Mumbai,-3.0,lucashale@gmail.com,32-13-2024
EMP1032,Michael Price,Unknown,,145129.46,five,Delhi,15.0,invalid_email,
EMP1033,Zachary Hendricks,,Support,N/A,five,Delhi,15.0,,32-13-2024
EMP1034,Cassandra Reed,,,,,Ahmedabad,-3.0,,
EMP1035,Darrell Flores,,UnknownDept,,five,,15.0,invalid_email,
EMP1036,Kelly Smith,Unknown,HR,N/A,21,Pune,15.0,,32-13-2024
EMP1037,David Hartman,32,Finance,32644.72,19,???,-3.0,invalid_email,32-13-2024
EMP1038,Darius Reid,33,UnknownDept,105287.54,five,Mumbai,,,2023-05-09
